Flower_x,Flower_y,Group
-0.001785714,-0.016728625,1
-0.005357143,-0.046468401,1
-0.019642857,-0.074349442,1
-0.030357143,-0.087360595,1
-0.035714286,-0.111524164,1
-0.041071429,-0.133828996,1
-0.039285714,-0.156133829,1
-0.042857143,-0.169144981,1
-0.053571429,-0.185873606,1
-0.060714286,-0.200743494,1
-0.071428571,-0.213754647,1
-0.078571429,-0.223048327,1
-0.076785714,-0.239776952,1
-0.078571429,-0.258364312,1
-0.078571429,-0.286245353,1
-0.071428571,-0.312267658,1
-0.058928571,-0.342007435,1
-0.05,-0.371747212,1
-0.044642857,-0.390334572,1
-0.039285714,-0.403345725,1
-0.032142857,-0.416356877,1
-0.017857143,-0.423791822,1
0.003571429,-0.43866171,1
0.014285714,-0.449814126,1
0.028571429,-0.462825279,1
0.041071429,-0.470260223,1
0.057142857,-0.470260223,1
0.073214286,-0.470260223,1
0.083928571,-0.466542751,1
0.098214286,-0.464684015,1
0.105357143,-0.451672862,1
0.101785714,-0.42936803,1
0.101785714,-0.418215613,1
0.105357143,-0.407063197,1
0.114285714,-0.405204461,1
0.135714286,-0.408921933,1
0.153571429,-0.399628253,1
0.175,-0.379182156,1
0.182142857,-0.349442379,1
0.192857143,-0.32527881,1
0.198214286,-0.302973978,1
0.196428571,-0.280669145,1
0.183928571,-0.267657993,1
0.176785714,-0.249070632,1
0.169642857,-0.230483271,1
0.171428571,-0.210037175,1
0.1625,-0.189591078,1
0.142857143,-0.176579926,1
0.133928571,-0.167286245,1
0.1,-0.152416357,1
0.092857143,-0.137546468,1
0.071428571,-0.126394052,1
0.064285714,-0.120817844,1
0.048214286,-0.107806691,1
0.044642857,-0.094795539,1
0.044642857,-0.07063197,1
0.0375,-0.040892193,1
0.025,-0.018587361,1
0.010714286,-0.005576208,1
-0.001785714,-0.016728625,1
0.008928571,0.001858736,2
0.023214286,-0.013011152,2
0.0375,-0.027881041,2
0.044642857,-0.046468401,2
0.053571429,-0.066914498,2
0.066071429,-0.07063197,2
0.080357143,-0.078066914,2
0.089285714,-0.098513011,2
0.108928571,-0.102230483,2
0.133928571,-0.115241636,2
0.141071429,-0.133828996,2
0.155357143,-0.144981413,2
0.167857143,-0.163568773,2
0.183928571,-0.176579926,2
0.198214286,-0.187732342,2
0.208928571,-0.195167286,2
0.210714286,-0.185873606,2
0.219642857,-0.18401487,2
0.232142857,-0.18401487,2
0.244642857,-0.187732342,2
0.258928571,-0.195167286,2
0.280357143,-0.200743494,2
0.296428571,-0.206319703,2
0.310714286,-0.206319703,2
0.325,-0.204460967,2
0.335714286,-0.197026022,2
0.348214286,-0.197026022,2
0.364285714,-0.198884758,2
0.375,-0.182156134,2
0.375,-0.163568773,2
0.3875,-0.159851301,2
0.408928571,-0.167286245,2
0.430357143,-0.169144981,2
0.4375,-0.169144981,2
0.442857143,-0.163568773,2
0.4375,-0.150557621,2
0.433928571,-0.139405204,2
0.435714286,-0.12267658,2
0.446428571,-0.115241636,2
0.453571429,-0.104089219,2
0.453571429,-0.083643123,2
0.457142857,-0.068773234,2
0.4625,-0.050185874,2
0.455357143,-0.029739777,2
0.442857143,-0.001858736,2
0.430357143,0.013011152,2
0.407142857,0.026022305,2
0.385714286,0.031598513,2
0.367857143,0.035315985,2
0.333928571,0.042750929,2
0.317857143,0.053903346,2
0.2875,0.059479554,2
0.257142857,0.066914498,2
0.228571429,0.072490706,2
0.201785714,0.068773234,2
0.1875,0.053903346,2
0.171428571,0.042750929,2
0.144642857,0.024163569,2
0.116071429,0.014869888,2
0.0875,0.007434944,2
0.069642857,0.005576208,2
0.046428571,0.005576208,2
0.0125,0.005576208,2
0.008928571,0.001858736,2
0.028571429,0.014869888,3
0.046428571,0.029739777,3
0.064285714,0.046468401,3
0.1,0.050185874,3
0.125,0.063197026,3
0.1375,0.078066914,3
0.1375,0.094795539,3
0.153571429,0.098513011,3
0.169642857,0.107806691,3
0.175,0.124535316,3
0.183928571,0.144981413,3
0.198214286,0.154275093,3
0.210714286,0.171003717,3
0.217857143,0.178438662,3
0.217857143,0.197026022,3
0.217857143,0.226765799,3
0.221428571,0.247211896,3
0.219642857,0.267657993,3
0.217857143,0.29739777,3
0.214285714,0.321561338,3
0.217857143,0.340148699,3
0.205357143,0.353159851,3
0.194642857,0.358736059,3
0.182142857,0.36802974,3
0.178571429,0.3866171,3
0.167857143,0.403345725,3
0.146428571,0.403345725,3
0.128571429,0.403345725,3
0.110714286,0.408921933,3
0.103571429,0.399628253,3
0.1,0.390334572,3
0.083928571,0.381040892,3
0.067857143,0.381040892,3
0.051785714,0.397769517,3
0.041071429,0.405204461,3
0.023214286,0.405204461,3
0.014285714,0.395910781,3
-0.008928571,0.375464684,3
-0.016071429,0.358736059,3
-0.026785714,0.345724907,3
-0.028571429,0.328996283,3
-0.028571429,0.308550186,3
-0.033928571,0.291821561,3
-0.039285714,0.273234201,3
-0.051785714,0.247211896,3
-0.051785714,0.230483271,3
-0.051785714,0.198884758,3
-0.046428571,0.172862454,3
-0.033928571,0.148698885,3
-0.016071429,0.1133829,3
-0.008928571,0.085501859,3
-0.007142857,0.059479554,3
-0.005357143,0.029739777,3
0.001785714,0.011152416,3
0.028571429,0.014869888,3
-0.001785714,0.011152416,4
-0.014285714,0.022304833,4
-0.026785714,0.033457249,4
-0.039285714,0.044609665,4
-0.05,0.06133829,4
-0.060714286,0.079925651,4
-0.060714286,0.105947955,4
-0.066071429,0.120817844,4
-0.082142857,0.143122677,4
-0.092857143,0.169144981,4
-0.0875,0.19330855,4
-0.103571429,0.213754647,4
-0.117857143,0.230483271,4
-0.1375,0.243494424,4
-0.155357143,0.273234201,4
-0.176785714,0.284386617,4
-0.2,0.289962825,4
-0.216071429,0.291821561,4
-0.232142857,0.299256506,4
-0.255357143,0.301115242,4
-0.276785714,0.302973978,4
-0.291071429,0.299256506,4
-0.305357143,0.293680297,4
-0.335714286,0.289962825,4
-0.364285714,0.280669145,4
-0.375,0.273234201,4
-0.382142857,0.250929368,4
-0.389285714,0.230483271,4
-0.392857143,0.198884758,4
-0.382142857,0.17472119,4
-0.378571429,0.152416357,4
-0.376785714,0.124535316,4
-0.369642857,0.100371747,4
-0.353571429,0.074349442,4
-0.335714286,0.046468401,4
-0.321428571,0.033457249,4
-0.305357143,0.016728625,4
-0.275,0.003717472,4
-0.248214286,0,4
-0.219642857,0,4
-0.182142857,0,4
-0.155357143,-0.005576208,4
-0.132142857,0.003717472,4
-0.1125,0.003717472,4
-0.085714286,0.003717472,4
-0.071428571,0,4
-0.051785714,-0.013011152,4
-0.030357143,-0.016728625,4
-0.010714286,-0.00929368,4
-0.001785714,0.011152416,4
-0.041071429,-0.027881041,5
-0.066071429,-0.037174721,5
-0.101785714,-0.046468401,5
-0.101785714,-0.035315985,5
-0.126785714,-0.031598513,5
-0.158928571,-0.022304833,5
-0.183928571,-0.011152416,5
-0.214285714,-0.011152416,5
-0.258928571,-0.005576208,5
-0.319642857,-0.007434944,5
-0.321428571,-0.018587361,5
-0.342857143,-0.026022305,5
-0.346428571,-0.033457249,5
-0.364285714,-0.048327138,5
-0.383928571,-0.065055762,5
-0.394642857,-0.091078067,5
-0.403571429,-0.104089219,5
-0.4125,-0.12267658,5
-0.405357143,-0.135687732,5
-0.408928571,-0.152416357,5
-0.410714286,-0.165427509,5
-0.398214286,-0.182156134,5
-0.383928571,-0.187732342,5
-0.375,-0.180297398,5
-0.3625,-0.167286245,5
-0.35,-0.167286245,5
-0.348214286,-0.185873606,5
-0.330357143,-0.200743494,5
-0.310714286,-0.217472119,5
-0.296428571,-0.232342007,5
-0.273214286,-0.243494424,5
-0.255357143,-0.249070632,5
-0.232142857,-0.247211896,5
-0.219642857,-0.247211896,5
-0.180357143,-0.24535316,5
-0.171428571,-0.23605948,5
-0.155357143,-0.243494424,5
-0.135714286,-0.241635688,5
-0.126785714,-0.228624535,5
-0.121428571,-0.206319703,5
-0.1125,-0.18401487,5
-0.096428571,-0.161710037,5
-0.0875,-0.143122677,5
-0.080357143,-0.128252788,5
-0.067857143,-0.115241636,5
-0.044642857,-0.102230483,5
-0.033928571,-0.076208178,5
-0.016071429,-0.063197026,5
-0.003571429,-0.037174721,5
-0.041071429,-0.027881041,5
